mode,top_k,fetch_k,threshold,mmr_lambda,hit_rate_at_k,evidence_recall,mrr,unsupported_rejection_accuracy,cross_policy_hit_rate,cross_policy_evidence_recall,unsupported_category_rejection_accuracy,balanced_score
mmr,4,12,0.3,0.7,0.9166666666666666,0.9583333333333334,0.8958333333333334,0.3333333333333333,0.75,0.875,0.3333333333333333,0.7361111111111112
mmr,4,20,0.3,0.7,0.9166666666666666,0.9583333333333334,0.8958333333333334,0.3333333333333333,0.75,0.875,0.3333333333333333,0.7361111111111112
mmr,4,30,0.3,0.7,0.9166666666666666,0.9583333333333334,0.8958333333333334,0.3333333333333333,0.75,0.875,0.3333333333333333,0.7361111111111112
mmr,5,12,0.3,0.7,0.9166666666666666,0.9583333333333334,0.8958333333333334,0.3333333333333333,0.75,0.875,0.3333333333333333,0.7361111111111112
mmr,5,20,0.3,0.7,0.9166666666666666,0.9583333333333334,0.8958333333333334,0.3333333333333333,0.75,0.875,0.3333333333333333,0.7361111111111112
mmr,5,30,0.3,0.7,0.9166666666666666,0.9583333333333334,0.8958333333333334,0.3333333333333333,0.75,0.875,0.3333333333333333,0.7361111111111112
similarity,3,12,0.3,,0.9166666666666666,0.9375,0.8958333333333334,0.3333333333333333,1,1.0,0.3333333333333333,0.7291666666666666
similarity,3,20,0.3,,0.9166666666666666,0.9375,0.8958333333333334,0.3333333333333333,1,1.0,0.3333333333333333,0.7291666666666666
similarity,3,30,0.3,,0.9166666666666666,0.9375,0.8958333333333334,0.3333333333333333,1,1.0,0.3333333333333333,0.7291666666666666
mmr,3,12,0.3,0.7,0.75,0.8333333333333334,0.875,0.3333333333333333,0.5,0.75,0.3333333333333333,0.638888888888889
mmr,3,20,0.3,0.7,0.75,0.8333333333333334,0.875,0.3333333333333333,0.5,0.75,0.3333333333333333,0.638888888888889
mmr,3,30,0.3,0.7,0.75,0.8333333333333334,0.875,0.3333333333333333,0.5,0.75,0.3333333333333333,0.638888888888889
